rent_address,min_distance,min_duration
206-126-carlisle-street-st-kilda-vic-3182-16041005,5869.43,584.3
517-74-queens-road-melbourne-vic-3004-16040056,5785.15,607.65
16-glyndebourne-avenue-toorak-vic-3142-16037962,8558.2,972.45
7b-carr-street-brighton-east-vic-3187-16037629,15693.98,1418.37
2104-38-rose-lane-melbourne-vic-3000-16035456,4046.78,443.84
3-24-park-crescent-caulfield-north-vic-3161-16035184,10134.95,898.73
215-253-normanby-road-south-melbourne-vic-3205-16034152,1560.51,186.41
11-hansens-lane-balnarring-beach-vic-3926-16017546,89453.55,4534.35
8-38-fitzroy-street-st-kilda-vic-3182-16016713,4377.96,415.11
12-108-maribyrnong-road-moonee-ponds-vic-3039-16015441,11477.66,1111.77
7-agnes-street-mont-albert-vic-3127-16014765,19507.99,1749.61
23a-bruce-street-toorak-vic-3142-16012345,6867.98,832.51
12-37-domain-street-south-yarra-vic-3141-16012333,4001.54,526.3
10-marne-street-south-yarra-vic-3141-15981508,4414.14,549.76
1-8-murphy-street-richmond-vic-3121-14865370,8134.62,953.61
198-barkly-st-brunswick-vic-3056-16072946,9617.15,1012.79
1-10-roseberry-grove-glen-huntly-vic-3163-16072245,11950.24,1033.14
4-26-wellington-street-st-kilda-vic-3182-16072089,5051.71,495.26
11-16-kensington-road-south-yarra-vic-3141-16071890,6057.29,749.44
g01-39-riversdale-road-hawthorn-vic-3122-15235034,10202.94,968.5
1715-220-spencer-street-melbourne-vic-3000-16071670,3813.35,414.54
104-300-swanston-street-melbourne-vic-3000-13671355,5606.5,650.99
2a-grant-street-oakleigh-vic-3166-16071525,16956.09,1529.44
314-499-st-kilda-road-melbourne-vic-3004-16071284,4756.22,583.53
3-19-truganini-road-carnegie-vic-3163-16071226,13117.92,1131.33
3-2-celeste-ct-st-kilda-east-vic-3183-16071218,7424.98,740.95
46b-wingate-street-bentleigh-east-vic-3165-16071165,19724.42,1636.4
205-1059-1061-dandenong-road-malvern-east-vic-3145-16070994,12554.29,1115.02
311-ross-street-port-melbourne-vic-3207-16070950,1539.76,195.4
65-broughton-road-surrey-hills-vic-3127-16070938,17329.9,1599.89
284a-tucker-rd-ormond-vic-3204-16070662,15715.63,1330.3
4-84-ormond-road-elwood-vic-3184-16070658,7259.72,745.84
313-110-roberts-street-west-footscray-vic-3012-16070615,11049.67,1006.26
12-carool-road-ashburton-vic-3147-16070361,14916.53,1387.03
12-vale-street-east-melbourne-vic-3002-16070321,6577.63,805.23
4-mary-moodie-way-brunswick-east-vic-3057-16070244,9622.83,1069.37
14-98-100-carrington-road-box-hill-vic-3128-16070220,19802.48,1770.64
27-elgin-street-carlton-vic-3053-16069803,7385.21,816.55
704-111-parkview-road-alphington-vic-3078-16069779,13852.46,1405.88
5-8-devorgilla-ave-toorak-vic-3142-16069736,9397.26,940.47
113-436-burke-road-camberwell-vic-3124-16069716,13216.53,1128.44
3-11-stewart-street-hawthorn-east-vic-3123-16069694,13329.77,1230.69
36-beau-vorno-avenue-keysborough-vic-3173-16069684,39441.23,2265.47
47-clarke-street-newtown-vic-3220-16069677,77910.68,3818.13
1-910-burke-road-deepdene-vic-3103-16069623,14494.99,1327.44
114-clark-street-port-melbourne-vic-3207-16069584,1549.07,187.82
7-27-avoca-street-south-yarra-vic-3141-16069516,4975.07,617.83
31-garton-street-port-melbourne-vic-3207-16069433,1098.38,161.05
24-snapshot-drive-coburg-north-vic-3058-16069368,14690.07,1533.41
unit-1713-200-spencer-st-melbourne-vic-3000-16069309,3751.84,408.21
48-yarra-street-abbotsford-vic-3067-16069226,8333.73,987.97
48-thompson-road-upwey-vic-3158-16069181,47517.88,3147.68
40-kelvin-grove-prahran-vic-3181-16068985,8253.82,811.9
5-17-ellesmere-road-prahran-vic-3181-16068966,7178.64,725.45
111-8-lygon-street-brunswick-east-vic-3057-16068888,8900.78,957.2
4-mcpherson-street-brunswick-vic-3056-16068777,11420.95,1205.73
11-90-hambleton-street-middle-park-vic-3206-16068766,1810.8,245.4
13-martin-street-south-melbourne-vic-3205-16068578,1807.03,244.56
301-18-etna-street-glen-huntly-vic-3163-16068553,12503.93,1071.18
2-16-green-street-prahran-vic-3181-16068447,6003.33,645.29
10-86-park-street-st-kilda-west-vic-3182-16068440,3577.0,355.49
1-lillian-street-glen-iris-vic-3146-16068377,17029.65,1539.11
1-26-redfern-road-hawthorn-east-vic-3123-16068361,12359.65,1127.94
1-106-alexandra-street-st-st-kilda-east-vic-3183-16068309,6946.62,685.69
8-16-chapel-street-st-kilda-vic-3182-16068250,5957.29,590.34
102-729-sydney-road-coburg-vic-3058-16068134,14704.96,1507.81
10-wenden-grove-st-kilda-east-vic-3183-16068114,7552.69,729.1
405-14-david-street-richmond-vic-3121-16068009,10667.46,982.97
2-52-william-street-oakleigh-vic-3166-16067917,18464.74,1619.7
3-34-mathoura-road-toorak-vic-3142-16067906,8356.95,826.57
4-317-dandenong-road-prahran-vic-3181-16067845,7966.54,777.26
43-philipson-street-albert-park-vic-3206-16067830,1332.54,160.01
5-69-river-street-richmond-vic-3121-16067702,10476.96,953.71
2-6-scheele-street-surrey-hills-vic-3127-16067630,18416.94,1649.07
10-urandaline-grove-caulfield-vic-3162-16067602,10804.9,929.15
3-1-birtles-st-balwyn-vic-3103-16067443,16029.31,1489.49
7-alexandra-street-st-kilda-east-vic-3183-16067396,7007.6,664.12
28-gillies-street-fairfield-vic-3078-16067381,11795.95,1371.14
2-1266-toorak-road-camberwell-vic-3124-16067345,15702.35,1388.8
2-26-patricia-street-bentleigh-east-vic-3165-16067339,19367.72,1615.13
47-somerset-road-glen-iris-vic-3146-16067326,15835.85,1348.1
2-appleton-street-richmond-vic-3121-16067294,10345.93,949.48
12-30-swanston-street-mentone-vic-3194-16067279,22635.7,2102.11
98-johnston-st-collingwood-vic-3066-16067212,7908.85,887.25
1652-dandenong-road-oakleigh-east-vic-3166-16067192,18732.36,1653.69
26-55-alexandra-st-st-kilda-east-vic-3183-16067159,7016.25,664.81
26-victoria-grove-hawthorn-east-vic-3123-16067087,12749.11,1177.88
516-480-riversdale-road-hawthorn-east-vic-3123-16067030,12590.05,1151.59
63-mcarthur-street-malvern-vic-3144-16067027,11498.03,1075.04
11-43-spenser-street-st-kilda-vic-3182-16067006,5414.58,567.1
1201-8-joseph-road-footscray-vic-3011-16066987,8677.85,978.58
7-reid-street-ashwood-vic-3147-16066841,16246.28,1480.39
24-spring-street-prahran-vic-3181-16066838,8302.63,832.48
408d-615-victoria-street-abbotsford-vic-3067-16066835,8677.14,981.45
3-57-59-brunswick-road-brunswick-east-vic-3057-16066832,9246.15,995.33
5-airlie-street-brighton-vic-3186-16066747,8479.54,867.66
5-14-olive-street-caulfield-south-vic-3162-16066746,11014.39,954.33
2-3-ada-street-doncaster-vic-3108-16066714,22298.71,1673.95
10a-mackie-road-bentleigh-east-vic-3165-16066650,18465.65,1554.79
1201-8-joseph-road-footscray-vic-3011-16066987,8677.85,978.58
153-south-road-brighton-vic-3186-16066514,14120.02,1362.91
g43-347-camberwell-road-camberwell-vic-3124-16066506,13098.5,1218.68
206-2-cedar-street-caulfield-south-vic-3162-15113111,10637.83,916.98
205-85-maling-road-canterbury-vic-3126-16066413,15433.72,1482.93
4-13-elizabeth-street-oakleigh-east-vic-3166-16066381,17843.29,1612.66
3-14-mccoll-court-brunswick-west-vic-3055-16066377,13244.52,1207.01
54-marriage-road-brighton-east-vic-3187-16066345,14778.91,1281.64
35-hoffman-cr-truganina-vic-3029-16066267,26111.18,1669.09
g05-523-dandenong-road-armadale-vic-3143-15178199,9059.47,852.31
11b-olive-st-hampton-vic-3188-16066090,14943.15,1416.61
27-anzac-crescent-williamstown-vic-3016-16066020,13471.33,1250.44
1007-238-flinders-st-melbourne-vic-3000-16066003,4248.68,485.27
207-770b-toorak-road-glen-iris-vic-3146-16065999,12377.41,1051.0
2-187-bank-street-south-melbourne-vic-3205-16065978,1954.65,249.92
1211-260-spencer-street-melbourne-vic-3000-16065974,3954.56,432.71
603-spencer-street-west-melbourne-vic-3003-16065963,5033.26,596.41
2-9-rennie-street-thornbury-vic-3071-16065901,12889.34,1249.97
6-fordham-court-richmond-vic-3121-16065885,7188.37,853.85
1-3-colville-court-herne-hill-vic-3218-16065828,75330.13,3682.71
2-burramine-road-glen-waverley-vic-3150-16065822,27129.46,1919.88
1-11-churchill-street-doncaster-east-vic-3109-15856463,26089.53,1866.31
4-9-marlton-crescent-st-kilda-vic-3182-16065793,5608.74,582.62
23-frank-street-eltham-vic-3095-16065746,31031.83,2656.45
16-lilian-parade-ringwood-vic-3134-16065729,35026.96,2429.44
65-francis-street-yarraville-vic-3013-16065715,9772.19,856.0
222-burwood-highway-burwood-vic-3125-16065529,18309.01,1662.21
104-139-york-street-prahran-vic-3181-16065475,7393.92,742.49
316-330-lygon-street-brunswick-east-vic-3057-15187572,10038.31,1050.88
504-350-la-trobe-street-melbourne-vic-3000-15302782,4888.81,552.34
2-16-lyon-street-essendon-vic-3040-16065350,14197.04,1420.45
g10-43-45-the-avenue-balaclava-vic-3183-16065263,7212.99,695.24
2-20-lyndhurst-crescent-brunswick-east-vic-3057-16065203,11326.94,1192.6
502-283-high-street-prahran-vic-3181-16065163,6790.57,707.99
23-clyde-street-thornbury-vic-3071-16065124,13372.65,1377.3
201-323-dandenong-road-prahran-vic-3181-16065119,7887.42,770.14
5-20-kooyong-rd-caulfield-north-vic-3161-16065046,8308.78,789.69
3-8-10-james-avenue-kew-vic-3101-16064942,13664.27,1334.76
13-40-lillimur-road-ormond-vic-3204-16064832,13898.49,1179.45
6-10-lalbert-crescent-prahran-vic-3181-16064800,8267.49,804.46
18-kingsley-st-elwood-vic-3184-16064797,7810.83,822.54
7-1204-glen-huntly-road-glen-huntly-vic-3163-16064791,12681.56,1076.32
121-lord-street-richmond-vic-3121-16064776,9578.87,870.53
8-4-mccracken-avenue-northcote-vic-3070-16064578,10950.3,1114.94
209-20-station-street-highett-vic-3190-16064556,18829.11,1745.02
8-12-may-street-elwood-vic-3184-16064495,7160.02,728.64
4-25-cardigan-street-st-kilda-east-vic-3183-16064463,6837.79,657.83
1b-castles-road-bentleigh-vic-3204-16064447,17539.59,1454.08
872-centre-road-bentleigh-east-vic-3165-16064305,19034.02,1585.36
283a-burnley-street-richmond-vic-3121-16064303,9429.93,835.66
2a-granter-street-brighton-east-vic-3187-16064222,13299.45,1109.09
