,rent_address,mall,min_distance,min_duration,postcode,price
0,5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Acland Court Shopping Centre,519.28,86.71,3000,570.0
1,513-118-franklin-street-melbourne-vic-3000-15397839,Barrabool Hills Plaza,643.05,84.44,3000,450.0
2,29-400-little-collins-street-melbourne-vic-3000-16022489,Bentons Square Shopping Centre,466.25,50.18,3000,400.0
3,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Bendigo Marketplace,378.36,57.7,3000,600.0
4,1411-250-elizabeth-street-melbourne-vic-3000-16092022,Brand Smart Premium Outlet Centre,81.25,9.22,3000,520.0
5,1309-199-william-street-melbourne-vic-3000-16093914,Bentons Square Shopping Centre,673.36,86.1,3000,520.0
6,1713-25-therry-street-melbourne-vic-3000-16097001,Barrabool Hills Plaza,689.9,98.3,3000,500.0
7,1202-31-spring-street-melbourne-vic-3000-16111139,Altona Gate Shopping Centre,457.01,95.24,3000,570.0
8,703-500-flinders-street-melbourne-vic-3000-16102690,Berwick Marketplace,578.68,106.04,3000,220.0
9,313-394-collins-street-melbourne-vic-3000-15401052,Altona Gate Shopping Centre,446.34,54.29,3000,500.0
10,3008-288-spencer-street-melbourne-vic-3000-16097762,Acland Court Shopping Centre,524.17,87.88,3000,410.0
11,1003-225-elizabeth-street-melbourne-vic-3000-16111540,Box Hill Central,506.84,89.59,3000,575.0
12,701-101-therry-st-melbourne-vic-3000-16069017,Barrabool Hills Plaza,672.63,87.63,3000,585.0
13,232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Balnarring Village Shopping Centre,414.83,61.64,3000,780.0
14,2503-7-katherine-place-melbourne-vic-3000-16096811,Bentons Square Shopping Centre,502.33,73.36,3000,415.0
15,320-68-la-trobe-street-melbourne-vic-3000-16098385,Birallee Village Shopping Centre,605.5,89.18,3000,430.0
16,1701-620-collins-street-melbourne-vic-3000-16114048,Bellpost Shopping Centre,84.15,22.72,3000,650.0
17,101-108-flinders-street-melbourne-vic-3000-16104629,Barrabool Hills Plaza,490.49,73.13,3000,650.0
18,501-243-franklin-street-melbourne-vic-3000-16098203,Bellpost Shopping Centre,706.98,86.53,3000,475.0
19,1202-620-collins-street-melbourne-vic-3000-16114058,Bellpost Shopping Centre,84.15,22.72,3000,500.0
20,312b-399-bourke-street-melbourne-vic-3000-16096996,Bentons Square Shopping Centre,460.96,47.41,3000,400.0
21,816-101-therry-st-melbourne-vic-3000-16068338,Barrabool Hills Plaza,672.63,87.63,3000,820.0
22,4010-639-lonsdale-street-melbourne-vic-3000-16091026,Barkly Square,219.29,28.48,3000,650.0
23,g06-501-little-collins-street-melbourne-vic-3000-16096996,Birallee Village Shopping Centre,558.93,99.31,3000,425.0
24,401-408-lonsdale-street-melbourne-vic-3000-16014585,Brand Smart Premium Outlet Centre,306.54,32.39,3000,410.0
25,7-562-little-bourke-street-melbourne-vic-3000-16094300,Bellpost Shopping Centre,295.86,70.44,3000,380.0
26,623-539-st-kilda-road-melbourne-vic-3000-16110078,Barkly Square,1288.65,125.11,3000,475.0
27,309-501-little-collins-street-melbourne-vic-3000-16107439,Birallee Village Shopping Centre,558.93,99.31,3000,400.0
28,3006-31-a-beckett-street-melbourne-vic-3000-16104600,Bayside Shopping Centre,483.48,72.64,3000,450.0
29,601-8-exploration-lane-melbourne-vic-3000-16081723,Birallee Village Shopping Centre,392.09,68.47,3000,530.0
30,33-400-little-collins-street-melbourne-vic-3000-16022489,Bentons Square Shopping Centre,466.25,50.18,3000,400.0
31,315-118-russell-street-melbourne-vic-3000-16108688,Berwick Marketplace,240.18,36.87,3000,550.0
32,3604-568-collins-street-melbourne-vic-3000-16102990,Belmont Village,234.85,40.8,3000,580.0
33,18-29-george-street-east-melbourne-vic-3002-16108770,Altona Gate Shopping Centre,1769.77,279.77,3002,350.0
34,unit-101m-201-powlett-street-east-melbourne-vic-3002-16109142,Altona Gate Shopping Centre,1584.35,196.55,3002,490.0
35,29-8-wellington-crescent-east-melbourne-vic-3002-16096702,Acland Court Shopping Centre,975.97,133.43,3002,750.0
36,811v-162-albert-street-east-melbourne-vic-3002-16096094,Altona Gate Shopping Centre,1622.85,224.57,3002,600.0
37,23-102-jolimont-road-east-melbourne-vic-3002-16110025,206 Bourke Street,1053.76,180.49,3002,1300.0
38,p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Altona Gate Shopping Centre,1739.05,225.52,3002,495.0
39,806-296-victoria-parade-east-melbourne-vic-3002-13799976,206 Bourke Street,1226.75,164.06,3002,1800.0
40,1-62-simpson-st-east-melbourne-vic-3002-16099921,Altona Gate Shopping Centre,1886.0,272.71,3002,395.0
41,6-18-ireland-street-west-melbourne-vic-3003-16093709,Acland Court Shopping Centre,1321.05,185.29,3003,750.0
42,214-15-31-batman-street-west-melbourne-vic-3003-14585741,Acland Court Shopping Centre,771.89,101.04,3003,400.0
43,102-9-dryburgh-street-west-melbourne-vic-3003-15235467,Acland Court Shopping Centre,1737.52,253.38,3003,550.0
44,5-61-stanley-street-west-melbourne-vic-3003-16105408,Acland Court Shopping Centre,964.92,134.73,3003,395.0
45,409-41-dryburgh-street-west-melbourne-vic-3003-16113705,Acland Court Shopping Centre,1707.73,263.17,3003,550.0
46,407-386-spencer-street-west-melbourne-vic-3003-16106534,Acland Court Shopping Centre,578.21,74.82,3003,450.0
47,260-adderley-street-west-melbourne-vic-3003-16103206,Acland Court Shopping Centre,1385.88,191.52,3003,950.0
48,2613-65-dudley-street-west-melbourne-vic-3003-16108153,Acland Court Shopping Centre,725.22,100.72,3003,520.0
49,1402-82-queens-rd-melbourne-vic-3004-16099647,206 Bourke Street,2152.04,304.59,3004,520.0
50,906-14-queens-road-melbourne-vic-3004-16104224,Bentons Square Shopping Centre,2174.67,220.62,3004,500.0
51,1011-77-queens-road-melbourne-vic-3004-16109866,Altona Gate Shopping Centre,2157.2,230.62,3004,590.0
52,1310-450-st-kilda-road-melbourne-vic-3004-16099990,Bentons Square Shopping Centre,2176.66,220.91,3004,620.0
53,32-632-st-kilda-road-melbourne-vic-3004-16091641,206 Bourke Street,2209.29,312.83,3004,700.0
54,19-32-queens-road-melbourne-vic-3004-16099040,Belmont Village,1754.83,185.62,3004,525.0
55,507-23-queens-road-melbourne-vic-3004-16098966,Bentons Square Shopping Centre,2314.97,230.58,3004,575.0
56,702-74-queens-road-melbourne-vic-3004-16113717,Altona Gate Shopping Centre,2101.52,222.6,3004,530.0
57,106-8-wells-st-southbank-vic-3006-16110505,206 Bourke Street,1512.57,219.22,3006,1200.0
58,3511-151-city-road-southbank-vic-3006-16094411,Bellarine Village Shopping Centre,1410.35,194.04,3006,530.0
59,1005-285-city-road-southbank-vic-3006-16111246,Acland Court Shopping Centre,1103.41,130.17,3006,450.0
60,56-28-southgate-avenue-southbank-vic-3006-16107621,Barrabool Hills Plaza,2189.9,332.33,3006,550.0
61,3201-245-city-road-southbank-vic-3006-16094069,Altona Gate Shopping Centre,1218.67,148.49,3006,575.0
62,3-100-coventry-street-southbank-vic-3006-16111756,Bayside Shopping Centre,2049.75,247.14,3006,520.0
63,1204-33-clarke-street-southbank-vic-3006-16093367,Balnarring Village Shopping Centre,1106.51,153.61,3006,350.0
64,808-250-city-road-southbank-vic-3006-16103830,Balnarring Village Shopping Centre,1121.44,152.52,3006,575.0
65,3104-45-clarke-street-southbank-vic-3006-14397368,Altona Gate Shopping Centre,1249.49,155.72,3006,590.0
66,2902-250-city-road-southbank-vic-3006-16111286,Balnarring Village Shopping Centre,1121.44,152.52,3006,450.0
67,2512-70-southbank-boulevard-southbank-vic-3006-16097066,Bellpost Shopping Centre,1659.69,233.44,3006,600.0
68,4008-45-clarke-street-southbank-vic-3006-16098289,Altona Gate Shopping Centre,1249.49,155.72,3006,650.0
69,312-57-spencer-street-docklands-vic-3008-16108605,Bellpost Shopping Centre,120.47,19.37,3008,600.0
70,1108-81-south-wharf-drive-docklands-vic-3008-16107733,Acland Court Shopping Centre,3158.67,434.78,3008,520.0
71,1404-4-joseph-road-footscray-vic-3011-15362715,206 Bourke Street,996.57,154.35,3011,410.0
72,1107-6-joseph-road-footscray-vic-3011-16104041,206 Bourke Street,1017.84,156.9,3011,500.0
73,9-67-ballarat-rd-footscray-vic-3011-16098677,Acland Court Shopping Centre,1533.98,218.07,3011,370.0
74,1806-8-joseph-road-footscray-vic-3011-16109988,206 Bourke Street,1026.36,157.92,3011,690.0
75,512-4-joseph-rd-footscray-vic-3011-15583218,206 Bourke Street,996.57,154.35,3011,520.0
76,808-2-joseph-road-footscray-vic-3011-15874277,206 Bourke Street,1068.53,162.98,3011,390.0
77,1109-2-joseph-road-footscray-vic-3011-15421439,206 Bourke Street,1068.53,162.98,3011,530.0
78,1412-4-joseph-road-footscray-vic-3011-16106028,206 Bourke Street,996.57,154.35,3011,400.0
79,801-8-joseph-road-footscray-vic-3011-16109999,206 Bourke Street,1026.36,157.92,3011,475.0
80,1908-6-joseph-road-footscray-vic-3011-15399494,206 Bourke Street,1017.84,156.9,3011,410.0
81,1108-2-joseph-road-footscray-vic-3011-16113701,206 Bourke Street,1068.53,162.98,3011,405.0
82,6-217-buckley-street-seddon-vic-3011-16104892,206 Bourke Street,834.01,120.55,3011,370.0
83,1605-6-joseph-road-footscray-vic-3011-16109994,206 Bourke Street,1017.84,156.9,3011,520.0
84,210-12-napier-street-footscray-vic-3011-16100855,206 Bourke Street,1210.83,183.73,3011,630.0
85,1508-6-joseph-road-footscray-vic-3011-16091829,206 Bourke Street,1017.84,156.9,3011,400.0
86,15-99-109-creswick-street-footscray-vic-3011-16105427,206 Bourke Street,870.03,135.99,3011,280.0
87,1205-8-joseph-road-footscray-vic-3011-16096365,206 Bourke Street,1026.36,157.92,3011,485.0
88,7-regent-street-yarraville-vic-3013-16096035,Altona Gate Shopping Centre,1691.55,216.82,3013,600.0
89,20-illawarra-street-williamstown-vic-3016-16104991,206 Bourke Street,12224.57,1103.88,3016,595.0
90,3-107-park-crescent-williamstown-north-vic-3016-16108944,206 Bourke Street,5304.93,539.08,3016,500.0
91,51-spearmint-boulevard-manor-lakes-vic-3024-13582212,206 Bourke Street,3186.81,307.5,3024,400.0
92,30-390-queen-street-altona-meadows-vic-3028-16110953,206 Bourke Street,289.53,45.58,3028,380.0
93,36a-featherby-way-altona-meadows-vic-3028-16110093,206 Bourke Street,2208.26,234.76,3028,395.0
94,74-myers-parade-altona-meadows-vic-3028-16094320,206 Bourke Street,698.33,108.48,3028,440.0
95,207-79-merton-street-altona-meadows-vic-3028-16107073,206 Bourke Street,183.52,31.08,3028,350.0
96,106-stratus-street-tarneit-vic-3029-16100986,Balnarring Village Shopping Centre,4004.04,404.42,3029,480.0
97,10-talliver-terrace-truganina-vic-3029-16111383,Altona Gate Shopping Centre,1873.58,255.4,3029,370.0
98,1-3-weebill-court-werribee-vic-3030-14233278,206 Bourke Street,1456.08,219.04,3030,380.0
99,913-1-ascot-vale-road-flemington-vic-3031-14811213,Balnarring Village Shopping Centre,2582.43,283.68,3031,420.0
100,104-71-89-hobsons-road-kensington-vic-3031-16111222,206 Bourke Street,2341.37,311.93,3031,375.0
101,5-48-farnham-street-flemington-vic-3031-16103716,Altona Gate Shopping Centre,2457.24,286.96,3031,310.0
102,712-68-wests-road-maribyrnong-vic-3032-16093377,Altona Gate Shopping Centre,1025.47,151.49,3032,360.0
103,1001b-2-wests-road-maribyrnong-vic-3032-16110067,206 Bourke Street,1012.39,110.88,3032,360.0
104,307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Acland Court Shopping Centre,2731.73,368.57,3032,470.0
105,704-68-wests-road-maribyrnong-vic-3032-16092164,Altona Gate Shopping Centre,1025.47,151.49,3032,475.0
106,207-8-burrowes-street-ascot-vale-vic-3032-16105755,Barrabool Hills Plaza,2317.46,251.5,3032,450.0
107,3-fortelny-way-moonee-ponds-vic-3039-16103083,Balnarring Village Shopping Centre,1318.13,167.11,3039,495.0
108,25-maple-walk-moonee-ponds-vic-3039-16097397,206 Bourke Street,477.45,79.61,3039,850.0
109,10-8-eddy-strret-moonee-ponds-vic-3039-16096123,206 Bourke Street,441.43,71.59,3039,330.0
110,1-8-10-lincoln-road-essendon-vic-3040-16095553,Barkly Square,2302.34,254.76,3040,620.0
111,6-5-winifred-essendon-vic-3040-16105691,206 Bourke Street,2119.68,288.68,3040,500.0
112,4-8-10-lincoln-road-essendon-vic-3040-16098657,Barkly Square,2302.34,254.76,3040,620.0
113,12-8-10-lincoln-road-essendon-vic-3040-16091133,Barkly Square,2302.34,254.76,3040,750.0
114,51-carrington-road-niddrie-vic-3042-16112270,Altona Gate Shopping Centre,2186.22,307.74,3042,900.0
115,72-austin-crescent-pascoe-vale-vic-3044-16108578,206 Bourke Street,6086.61,648.95,3044,550.0
116,2-6-8-keogh-court-pascoe-vale-vic-3044-16099318,Balnarring Village Shopping Centre,5062.0,526.23,3044,450.0
117,7-55-pleasant-street-pascoe-vale-vic-3044-15507181,206 Bourke Street,5751.52,626.47,3044,400.0
118,1b-hazel-grove-pascoe-vale-vic-3044-16098940,Balnarring Village Shopping Centre,4630.16,495.35,3044,445.0
119,1-255-derby-street-pascoe-vale-vic-3044-15378014,206 Bourke Street,5021.0,465.7,3044,440.0
120,20a-park-street-pascoe-vale-vic-3044-16100660,206 Bourke Street,4500.27,545.63,3044,480.0
121,2-14-gregory-street-oak-park-vic-3046-16095581,206 Bourke Street,5787.38,765.53,3046,550.0
122,2-12-sylvester-street-oak-park-vic-3046-16105234,206 Bourke Street,5917.81,796.84,3046,525.0
123,17-352-victoria-street-north-melbourne-vic-3051-16112376,Bayside Shopping Centre,389.92,44.45,3051,450.0
124,27-carroll-street-north-melbourne-vic-3051-16104463,Bourke Street Mall,2649.85,277.24,3051,1050.0
125,101-96-curzon-street-north-melbourne-vic-3051-16099695,206 Bourke Street,1335.12,131.67,3051,320.0
126,104-16-cobden-street-north-melbourne-vic-3051-16096636,Bellpost Shopping Centre,760.74,93.66,3051,600.0
127,494-abbotsford-street-north-melbourne-vic-3051-16093609,Birallee Village Shopping Centre,2334.6,221.03,3051,1295.0
128,502-46-villiers-street-north-melbourne-vic-3051-16091326,206 Bourke Street,1429.57,158.63,3051,370.0
129,109-380-queensberry-street-north-melbourne-vic-3051-14961044,Altona Gate Shopping Centre,619.28,80.21,3051,550.0
130,4-19-chapman-street-north-melbourne-vic-3051-16112887,Birallee Village Shopping Centre,2267.56,247.82,3051,380.0
131,17-228-the-avenue-parkville-vic-3052-16104553,206 Bourke Street,916.52,129.25,3052,330.0
132,21-361-royal-parade-parkville-vic-3052-16104740,206 Bourke Street,1249.29,148.64,3052,380.0
133,210-445-royal-parade-parkville-vic-3052-16105650,206 Bourke Street,952.04,135.64,3052,370.0
134,12-283-royal-parade-parkville-vic-3052-16096882,Acland Court Shopping Centre,1344.26,148.48,3052,420.0
135,815-91-galada-avenue-parkville-vic-3052-16108978,206 Bourke Street,2458.75,252.94,3052,480.0
136,1-43-barkly-street-carlton-vic-3053-16114029,Braybrook Shopping Centre,1361.92,193.35,3053,460.0
137,112-124-palmerston-street-carlton-vic-3053-16103862,Braybrook Shopping Centre,1946.07,257.02,3053,500.0
138,10-21-university-street-carlton-vic-3053-10308643,Brimbank Central Shopping Centre,1452.42,198.0,3053,525.0
139,37-109-lygon-street-carlton-vic-3053-16105252,Bellarine Village Shopping Centre,965.56,120.01,3053,250.0
140,11-406-cardigan-street-carlton-vic-3053-16107251,Birallee Village Shopping Centre,2266.92,240.55,3053,780.0
141,108-139-143-bouverie-street-carlton-vic-3053-16100726,Balnarring Village Shopping Centre,1093.39,139.12,3053,260.0
142,706-111-leicester-street-carlton-vic-3053-16108027,Balnarring Village Shopping Centre,1057.46,148.58,3053,500.0
143,24-macpherson-street-carlton-north-vic-3054-16092806,Acland Court Shopping Centre,2468.99,271.46,3054,650.0
144,29-1066-lygon-street-carlton-north-vic-3054-16099369,206 Bourke Street,1393.48,161.73,3054,750.0
145,159-richardson-street-carlton-north-vic-3054-16096889,206 Bourke Street,1694.99,199.56,3054,580.0
146,10-sutton-street-carlton-north-vic-3054-16097594,Acland Court Shopping Centre,2358.22,280.1,3054,625.0
147,6-230-dawson-street-brunswick-west-vic-3055-16103397,Acland Court Shopping Centre,1740.08,192.14,3055,375.0
148,19-552-moreland-road-brunswick-west-vic-3055-16112090,Altona Gate Shopping Centre,2711.56,281.9,3055,260.0
149,804-1-olive-york-way-brunswick-west-vic-3055-15357145,Acland Court Shopping Centre,2412.23,268.35,3055,460.0
150,1-3-guthrie-street-brunswick-west-vic-3055-16103784,206 Bourke Street,1860.64,179.6,3055,320.0
151,10-55-heller-street-brunswick-west-vic-3055-16099137,206 Bourke Street,1566.14,163.78,3055,330.0
152,12-39-heller-street-brunswick-west-vic-3055-16112167,206 Bourke Street,1429.97,141.32,3055,325.0
153,5-490-492-moreland-road-brunswick-west-vic-3055-16091467,Acland Court Shopping Centre,3215.62,352.91,3055,395.0
154,5-548-moreland-road-brunswick-west-vic-3055-16109592,Altona Gate Shopping Centre,2742.28,284.67,3055,260.0
155,2-28-millward-street-brunswick-west-vic-3055-16103927,206 Bourke Street,1276.36,126.73,3055,595.0
156,2b-donald-street-brunswick-vic-3056-16094762,206 Bourke Street,2238.15,263.27,3056,650.0
157,213-albert-street-brunswick-vic-3056-16112143,206 Bourke Street,1157.8,144.7,3056,550.0
158,7-walters-street-brunswick-vic-3056-16101017,206 Bourke Street,2560.65,288.19,3056,700.0
159,116-288-albert-street-brunswick-vic-3056-16113457,206 Bourke Street,1028.08,126.02,3056,350.0
160,110-brunswick-road-brunswick-vic-3056-16103107,206 Bourke Street,796.12,96.5,3056,570.0
161,2-horne-street-brunswick-vic-3056-16107121,206 Bourke Street,1373.98,147.26,3056,1050.0
162,399-brunswick-road-brunswick-vic-3056-16091358,206 Bourke Street,1265.04,124.63,3056,1200.0
163,1-80-mitchell-street-brunswick-vic-3056-16104131,206 Bourke Street,2675.87,283.82,3056,460.0
164,1-339-brunswick-road-brunswick-vic-3056-16096511,206 Bourke Street,765.14,78.58,3056,740.0
165,2-53-evans-street-brunswick-vic-3056-16092503,206 Bourke Street,1489.99,165.65,3056,550.0
166,306-267-277-lygon-street-brunswick-vic-3056-16099911,206 Bourke Street,1777.82,172.58,3056,600.0
167,476b-sydney-road-brunswick-vic-3056-16101831,206 Bourke Street,1159.19,142.28,3056,1100.0
168,42-cassels-road-brunswick-vic-3056-16110238,206 Bourke Street,2585.43,327.78,3056,730.0
169,4-653-park-street-brunswick-vic-3056-16109007,206 Bourke Street,733.32,90.12,3056,380.0
170,3-allan-street-brunswick-vic-3056-16091524,206 Bourke Street,1332.58,139.81,3056,850.0
171,3-138-mitchell-street-brunswick-vic-3056-16104854,206 Bourke Street,3151.99,317.32,3056,350.0
172,14-116-albert-street-brunswick-vic-3056-16099340,206 Bourke Street,1876.21,183.57,3056,395.0
173,8-jenkin-street-brunswick-vic-3056-16107288,206 Bourke Street,1800.14,192.41,3056,925.0
174,208-611-sydney-road-brunswick-vic-3056-15144017,206 Bourke Street,1625.47,198.78,3056,420.0
175,71-amelia-street-brunswick-vic-3056-16111322,206 Bourke Street,405.76,59.7,3056,800.0
176,5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,206 Bourke Street,1741.66,181.75,3057,900.0
177,45-victoria-street-brunswick-east-vic-3057-16105604,Acland Court Shopping Centre,2359.74,307.82,3057,550.0
178,4-162-lygon-street-brunswick-east-vic-3057-16101848,206 Bourke Street,1260.25,155.91,3057,440.0
179,106-273-lygon-street-brunswick-east-vic-3057-16095784,206 Bourke Street,1777.82,172.58,3057,575.0
180,313-1-brunswick-road-brunswick-east-vic-3057-16099118,206 Bourke Street,1568.25,193.74,3057,380.0
181,4-31-33-o-connor-street-brunswick-east-vic-3057-16109419,206 Bourke Street,1741.66,181.75,3057,650.0
182,101-392-lygon-street-brunswick-east-vic-3057-16095591,206 Bourke Street,2275.39,215.97,3057,400.0
183,204-294-lygon-street-brunswick-east-vic-3057-15429522,206 Bourke Street,1908.22,187.65,3057,575.0
184,46-nicholson-street-brunswick-east-vic-3057-16112281,206 Bourke Street,2287.24,228.53,3057,780.0
185,306-63-lygon-street-brunswick-east-vic-3057-16104850,206 Bourke Street,779.01,111.26,3057,420.0
186,147-stewart-st-brunswick-east-vic-3057-16108585,206 Bourke Street,2635.26,255.63,3057,610.0
187,2-parkview-avenue-brunswick-east-vic-3057-16108388,Acland Court Shopping Centre,2480.43,325.26,3057,525.0
188,413-11-urquhart-street-coburg-vic-3058-15467995,206 Bourke Street,2948.5,332.66,3058,450.0
189,714-11-urquhart-street-coburg-vic-3058-16097143,206 Bourke Street,2948.5,332.66,3058,450.0
190,1-flinders-street-coburg-vic-3058-15138487,Altona Gate Shopping Centre,3941.59,402.54,3058,430.0
191,4-18-loch-street-coburg-vic-3058-16092618,206 Bourke Street,3653.06,454.75,3058,540.0
192,177-urquhart-street-coburg-vic-3058-16099429,206 Bourke Street,2147.16,261.06,3058,600.0
193,46-mutton-road-fawkner-vic-3060-15915330,206 Bourke Street,3361.11,335.79,3060,450.0
194,27-rocco-avenue-donnybrook-vic-3064-16098102,206 Bourke Street,9690.03,762.44,3064,440.0
195,14-65-george-street-fitzroy-vic-3065-16109661,206 Bourke Street,1466.83,209.05,3065,330.0
196,g05-237-napier-street-fitzroy-vic-3065-16099451,Balnarring Village Shopping Centre,1925.19,304.65,3065,595.0
197,33-bell-street-fitzroy-vic-3065-16110446,Braybrook Shopping Centre,1653.64,221.7,3065,1350.0
198,11g-21-northumberland-street-collingwood-vic-3066-16110786,Altona Gate Shopping Centre,1895.38,245.1,3066,550.0
199,706-75-wellington-street-collingwood-vic-3066-15210408,Altona Gate Shopping Centre,1920.76,237.56,3066,600.0
200,47-bedford-street-collingwood-vic-3066-16105364,Balnarring Village Shopping Centre,2237.81,294.23,3066,550.0
201,3-15-17-bendigo-street-collingwood-vic-3066-16108579,Altona Gate Shopping Centre,3781.17,460.87,3066,350.0
202,1008-68-cambridge-street-collingwood-vic-3066-16096565,Altona Gate Shopping Centre,1888.2,240.53,3066,500.0
203,206-470-smith-street-collingwood-vic-3066-16095724,Balnarring Village Shopping Centre,2947.23,369.98,3066,430.0
204,1-127-cambridge-street-collingwood-vic-3066-16091234,Balnarring Village Shopping Centre,2146.05,295.56,3066,900.0
205,207-6-mater-street-collingwood-vic-3066-16091253,Balnarring Village Shopping Centre,3008.8,388.74,3066,550.0
206,106-35-victoria-parade-collingwood-vic-3066-16093671,Altona Gate Shopping Centre,1477.85,197.64,3066,500.0
207,207g-31-napoleon-street-collingwood-vic-3066-16108865,Balnarring Village Shopping Centre,2759.3,332.22,3066,410.0
208,303-11-hoddle-street-collingwood-vic-3066-16093268,Altona Gate Shopping Centre,2602.64,315.46,3066,390.0
209,114-4-acacia-place-abbotsford-vic-3067-16097009,206 Bourke Street,401.99,77.48,3067,475.0
210,608-627-victoria-street-abbotsford-vic-3067-16112055,206 Bourke Street,874.61,137.82,3067,450.0
211,12-valiant-street-abbotsford-vic-3067-16098146,Balnarring Village Shopping Centre,3061.39,354.29,3067,975.0
212,c306-11-shamrock-street-abbotsford-vic-3067-16103805,206 Bourke Street,1094.32,164.11,3067,550.0
213,1108-20-shamrock-street-abbotsford-vic-3067-15091677,206 Bourke Street,1124.89,171.45,3067,530.0
214,201a-8-grosvenor-street-abbotsford-vic-3067-16093576,206 Bourke Street,967.8,133.75,3067,410.0
215,722-627-victoria-street-abbotsford-vic-3067-16102907,206 Bourke Street,874.61,137.82,3067,400.0
216,112-4-acacia-place-abbotsford-vic-3067-16104805,206 Bourke Street,401.99,77.48,3067,795.0
217,71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Barkly Square,3607.92,388.56,3067,550.0
218,6-241-nicholson-street-abbotsford-vic-3067-11018248,Balnarring Village Shopping Centre,2988.17,325.89,3067,340.0
219,814-4-acacia-place-abbotsford-vic-3067-16097710,206 Bourke Street,401.99,77.48,3067,380.0
220,406-631-victoria-street-abbotsford-vic-3067-16102921,206 Bourke Street,774.75,112.93,3067,650.0
221,13-trenerry-crescent-abbotsford-vic-3067-14338216,Acland Court Shopping Centre,3388.42,365.98,3067,1080.0
